record_index,pc1,pc2,dataset_source
6001,-0.50013125,2.6496496,instagram_data
15681,-4.2889404,4.7910166,instagram_data
22886,-8.082504,0.7820955,instagram_data2
31557,-12.479233,-2.322451,instagram_data2
5483,-9.940856,-2.084348,instagram_data
9846,-10.75952,-0.97836155,instagram_data
9520,-3.889373,-13.85394,instagram_data
15175,12.896889,-13.036062,instagram_data
5436,-8.574672,1.1265475,instagram_data
11151,-4.4709244,3.4153159,instagram_data
30128,1.9468158,12.73864,instagram_data2
27273,-9.356853,-2.792869,instagram_data2
13107,-10.415219,-0.2839581,instagram_data
2973,-0.73194057,10.181171,instagram_data
27637,10.724778,7.226307,instagram_data2
18379,18.305487,13.72438,instagram_data
16759,-1.4007783,-14.768725,instagram_data
30627,12.952926,10.055438,instagram_data2
13106,-10.415219,-0.2839581,instagram_data
19181,6.8733554,-7.0948133,instagram_data
25450,-8.567176,-2.516016,instagram_data2
10300,-10.491885,-2.2655098,instagram_data
20662,-5.985821,-3.1743152,instagram_data2
30211,-6.4092703,-1.9216763,instagram_data2
34465,3.3431878,-1.2903119,instagram_data2
29137,-1.0978596,-13.531792,instagram_data2
34082,1.7304763,11.218103,instagram_data2
6158,3.2521384,6.5982475,instagram_data
2999,-8.563648,-0.34031823,instagram_data
29125,23.089453,0.2182714,instagram_data2
2731,4.383848,-2.6973498,instagram_data
4759,3.269782,-2.0499206,instagram_data
30683,-9.658371,-4.0541787,instagram_data2
11600,23.449017,12.831546,instagram_data
13821,-3.5977964,-3.2841291,instagram_data
9269,-10.39878,-1.6181132,instagram_data
33101,-13.944719,-3.9113493,instagram_data2
2104,-12.181618,-0.36410958,instagram_data
18894,-10.586002,-6.573115,instagram_data
14361,15.463494,-1.6224587,instagram_data
9492,0.57246,1.7085398,instagram_data
32032,0.69674146,2.5841806,instagram_data2
2159,-11.818596,-2.5992665,instagram_data
32419,12.06814,3.0991545,instagram_data2
17605,-6.192961,-2.802057,instagram_data
30207,7.4722466,-6.817806,instagram_data2
16553,6.507593,4.6230855,instagram_data
24392,-3.38477,3.692294,instagram_data2
26632,3.336533,-7.7005296,instagram_data2
24726,-3.0822964,4.8747683,instagram_data2
30328,9.254513,-3.0172029,instagram_data2
1491,10.377621,-4.884605,instagram_data
11495,-15.7189665,-1.8211497,instagram_data
23757,-5.1036153,5.2098517,instagram_data2
7415,10.851815,3.549098,instagram_data
32002,-3.2472353,-11.025621,instagram_data2
18712,-4.1759796,12.081958,instagram_data
31684,12.058668,5.9069552,instagram_data2
957,-1.8911734,9.513512,instagram_data
12507,-2.7736263,-11.994042,instagram_data
22420,3.6934574,15.591387,instagram_data2
31063,-1.314078,12.567159,instagram_data2
6216,-12.741949,2.6559212,instagram_data
18722,-6.217132,4.4972024,instagram_data
1943,-9.17281,0.6722134,instagram_data
21842,-10.038314,2.099798,instagram_data2
13330,14.324974,-16.15651,instagram_data
1368,12.538339,3.1481984,instagram_data
19048,-9.270993,4.62459,instagram_data
24888,-8.25132,0.5426326,instagram_data2
11142,-7.993659,3.2122707,instagram_data
16080,-5.5326138,1.4940307,instagram_data
15351,7.0839686,4.086602,instagram_data
31033,-9.934433,0.30221337,instagram_data2
30209,-4.5901017,0.45281142,instagram_data2
20488,14.847761,-0.69801736,instagram_data
8158,-8.405779,-0.18207921,instagram_data
9767,-3.4315736,-3.5880456,instagram_data
22670,18.065348,-3.2169747,instagram_data2
23268,-7.8667693,-1.545571,instagram_data2
24323,-5.7411456,-2.4628453,instagram_data2
6100,-4.453235,-6.445084,instagram_data
26774,10.509111,-2.2786374,instagram_data2
15729,-5.5511403,-0.16079262,instagram_data
21310,-3.9415388,2.1221678,instagram_data2
10538,11.02018,-9.520152,instagram_data
22741,-7.1639686,4.4131465,instagram_data2
25021,8.490814,9.912939,instagram_data2
16907,-0.005381725,0.22123067,instagram_data
30285,-8.066217,-3.8891466,instagram_data2
20163,-10.990055,0.30713302,instagram_data
971,-1.4901495,2.6173756,instagram_data
20438,11.84076,-7.4785385,instagram_data
29430,-12.888497,-1.1136565,instagram_data2
16367,14.908451,-0.053728048,instagram_data
25187,6.5721993,2.5438633,instagram_data2
14659,-1.3759936,-16.574532,instagram_data
3206,-7.5283036,-2.7515125,instagram_data
9763,11.376506,19.999134,instagram_data
11681,5.344685,1.299615,instagram_data
34883,4.092986,-14.321686,instagram_data2
27600,-0.9495589,6.224927,instagram_data2
16782,-5.2192483,-10.3493595,instagram_data
33753,-11.124873,0.46288005,instagram_data2
15834,7.469926,-2.2089183,instagram_data
8564,5.2870398,1.3899841,instagram_data
4592,-13.039206,-0.13424836,instagram_data
33259,8.425786,-7.3148136,instagram_data2
617,-6.674564,-3.7599776,instagram_data
16375,11.95422,6.989013,instagram_data
15012,4.4325724,-1.6377312,instagram_data
16212,-1.3114736,0.51347935,instagram_data
34813,-2.1726394,2.413882,instagram_data2
126,25.585878,21.31833,instagram_data
4486,7.0315013,-0.738969,instagram_data
9987,6.1572924,-3.4772992,instagram_data
25291,-8.1522045,6.323177,instagram_data2
20360,3.6262026,-9.152274,instagram_data
34255,7.164231,0.45669794,instagram_data2
4688,6.622673,-1.4010712,instagram_data
32334,11.868276,11.017901,instagram_data2
17900,-3.205857,-4.2086525,instagram_data
23935,7.098843,6.9663544,instagram_data2
18835,5.5020213,-5.0075874,instagram_data
15464,-4.109269,2.7854114,instagram_data
31094,3.6651437,0.08038739,instagram_data2
